Time,"ELEVATION Z","Points:0","Points:1","Points:2","VELOCITY U","VELOCITY V","VELOCITY W"
5000,0,25.891,89.893,0,0.047203,0.097527,0
5000,0,50.829,85.819,0,0.14777,0.0050285,0
5000,0,80.554,84.928,0,0.1571,0.0040058,0
5000,0,112.74,84.147,0,0.16679,-0.00036907,0
5000,0,148.11,82.655,0,0.17326,-0.0032392,0
5000,0,186.56,79.939,0,0.18194,-0.0034914,0
5000,0,229.12,78.491,0,0.18435,0.0018888,0
5000,0,274.06,79.594,0,0.18087,0.0022825,0
5000,0,320.58,78.175,0,0.18737,-0.0086668,0
5000,0,372.88,75.497,0,0.19076,-0.0062174,0
5000,0,427.23,74.649,0,0.18973,0.00020888,0
5000,0,391.03,14.647,0,0.18847,-0.001818,0
5000,0,447.86,16.728,0,0.19262,-0.00084998,0
5000,0,418.91,13.532,0,0.17518,0.001529,0
5000,0,362.34,15.699,0,0.20219,0.0022821,0
5000,0,334.86,11.382,0,0.17232,0.0046833,0
5000,0,308.33,13.136,0,0.18904,-0.00099874,0
5000,0,281.96,13.134,0,0.19165,0.0015576,0
5000,0,256.5,11.905,0,0.18149,-0.0039993,0
5000,0,231.09,11.555,0,0.18186,0.0061039,0
5000,0,206.01,12.655,0,0.1899,-0.0032781,0
5000,0,181.3,12.841,0,0.19117,-0.0019705,0
5000,0,157.02,12.235,0,0.1941,0.0042268,0
5000,0,133.89,10.417,0,0.18331,0.00087354,0
5000,0,111.58,11.177,0,0.19196,-0.00039272,0
5000,0,89.059,11.483,0,0.19231,-0.0027047,0
5000,0,66.417,10.793,0,0.18476,-8.471e-05,0
5000,0,45.099,10.696,0,0.18179,-0.0054374,0
5000,0,24.116,9.405,0,0.16787,-0.036667,0
5000,0,20.988,49.942,0,0.13104,-0.006822,0
5000,0,18.997,28.665,0,0.13826,-0.0013549,0
5000,0,88.322,69.604,0,0.19224,0.00092383,0
5000,0,17.373,70.087,0,0.15421,-0.034227,0
5000,0,20.476,79.486,0,0.23033,-0.064671,0
5000,0,458.8,38.255,0,0.20387,0.018444,0
5000,0,121.78,66.234,0,0.19591,-0.00094885,0
5000,0,105.09,68.205,0,0.19399,-0.0001487,0
5000,0,72.41,68.868,0,0.1889,5.8262e-05,0
5000,0,176.71,61.568,0,0.19537,-0.0029334,0
