,Convergence rate
0,0.8841902268471181
50,0.893004678624969
100,0.9440975010933239
150,0.9767172997429668
200,0.9872439968196295
250,0.997586931627016
300,0.9997461673497726
350,0.9972178718734734
400,0.8606786016418384
450,0.9301660000263665
500,0.9585798974194658
550,0.9692943833059576
600,0.9817195988697537
650,1.0324555732416096
700,1.0129850438242936
750,1.0033891362604876
800,1.005575186633358
850,1.0006713060705021
900,0.9953863740356139
950,0.9958677892944111
1000,0.9977136086742743
1050,1.0002055421193392
1100,1.0018365183291307
1150,1.003445182323199
1200,1.001510274894595
1250,0.9995899828801722
1300,0.9994370721561817
1350,0.9993498469608887
1400,0.9992857097936362
1450,0.9995404451624407
1500,0.9997825871070387
1550,0.999817771344659
1600,0.9998858651316327
1650,0.999900429395508
1700,0.9998070650105236
1750,0.9997464259681688
1800,0.9997387513947656
1850,0.9997225464483487
1900,0.9997404935410475
1950,0.9997209786225209
2000,0.9996721504551078
2050,0.9996077245447055
2100,0.9998160390266438
2150,0.9998731570642929
2200,0.9999026678016859
2250,0.9999100999206986
2300,0.9999123055495902
2350,1.000016514776645
2400,1.0000233212855936
2450,1.0000684329643856
2500,1.0000850666908832
2550,1.0000810107038267
2600,1.0000873398930799
2650,1.0000995437315372
2700,1.0001023705739454
2750,1.0001107692758617
2800,1.0001153655888784
2850,1.0001319103096766
2900,1.0001129467333907
2950,1.0000744651185924
3000,1.0000858779281483
3050,1.000120676748182
3100,1.0001214060499029
3150,1.00013527587567
3200,1.000203659591728
3250,1.000334461289832
3300,1.0003801772441225
3350,1.0004184210330982
3400,1.0004695855918373
3450,1.0005881214061012
3500,1.0006425905553407
3550,1.000726690587446
3600,1.000946872887305
3650,1.0011796506322528
3700,1.0013874961400255
3750,1.0015591000290138
3800,1.001878681028003
3850,1.0020608986198443
3900,1.0020867920184096
3950,1.0024373485940332
4000,1.002662064170325
4050,1.0027049671043737
4100,1.0028313717629496
4150,1.003104985681719
4200,1.0177117038214474
4250,1.068630770862771
4300,1.0110403038569113
4350,1.0103068635242034
4400,1.0076333328329248
4450,1.0082915172757698
4500,1.00563865964777
4550,1.0060230468800855
4600,1.0066644378003278
4650,1.006308000204683
4700,1.005741537825162
4750,1.0044749561723783
4800,1.0046849761097199
4850,1.0045462732724137
4900,1.004081202919475
4950,1.0036407086025638
5000,1.0035364157428368
5050,1.003306596067121
5100,1.0030340646973954
5150,1.0027691246741317
5200,1.0025620199110572
5250,1.0022830976449169
5300,1.002172371112347
5350,1.0019628218697982
5400,1.0017604644888525
5450,1.0016118720950495
5500,1.001464479265876
5550,1.0013612630972635
5600,1.001213556049642
5650,1.0011085156825372
5700,1.0010342414373679
5750,1.0009481678813565
5800,1.0008582784646551
5850,1.0007777319333704
5900,1.0007067306025292
5950,1.0006399452051018
6000,1.000576524698721
6050,1.0005245226414679
6100,1.0004762188560221
6150,1.0004340504217768
6200,1.000393299719293
6250,1.000354237985354
6300,1.000321820996519
6350,1.000291547409112
6400,1.000267923404587
6450,1.0002448071106167
6500,1.0002201814176883
6550,1.0001983925385054
6600,1.0001794205699588
6650,1.0001620280245067
6700,1.000148067918219
6750,1.0001340726602783
6800,1.0001216295206599
6850,1.0001102923025305
6900,1.0001001238768248
6950,1.0000911200213431
7000,1.0000817914785072
7050,1.0000744663161962
7100,1.0000671835116397
7150,1.0000612575599674
7200,1.000055438499459
7250,1.0000500964646917
7300,1.0000457022800355
7350,1.000041109113174
7400,1.0000371589778685
7450,1.0000336490104573
7500,1.0000304776609827
7550,1.0000276108703745
7600,1.0000249809904314
7650,1.0000225541185226
7700,1.000020296401686
7750,1.000018476916821
7800,1.000016691615511
7850,1.000015142326165
7900,1.0000136943466238
7950,1.000012448544286
8000,1.0000112702711794
8050,1.0000101931283711
8100,1.0000092507127563
8150,1.0000083420720485
8200,1.000007601728665
8250,1.000006760571833
8300,1.0000061885701128
8350,1.000005616624444
8400,1.0000051119920053
8450,1.0000046410307613
8500,1.0000042373632885
8550,1.00000380009403
8600,1.0000034637359145
8650,1.000003127396255
8700,1.0000028247004562
8750,1.0000025892716593
8800,1.0000023202262167
8850,1.0000020848166027
8900,1.0000019166659435
8950,1.0000017148951175
9000,1.0000015467547758
9050,1.0000014458680364
9100,1.0000012777346063
9150,1.0000011432288864
9200,1.000001075973826
9250,1.00000094147205
9300,1.0000008742198514
9350,1.0000007733449474
9400,1.0000007733418086
9450,1.0000006388451705
9500,1.0000006052197543
9550,1.000000537971483
9600,1.0000004707237857
9650,1.0000004370996094
9700,1.0000004034756658
9750,1.0000003698519369
9800,1.0000003362284047
9850,1.0000003026050521
9900,1.0000002689818603
